Time Stamp,District,Area,Status
1480057201,5,Area06_015,Current
1480057201,5,Area06_016,Current
1480057201,5,Area06_017,Current
1480057201,5,Area06_018,Current
1480057201,5,Area06_019,Current
1480057201,5,Area06_020,Current
1480057201,5,Area06_021,Current
1480057201,5,Area06_022,Current
1480057201,5,Area06_023,Current
1480057201,5,Area06_024,Current
1480057201,5,Area06_025,Current
1480057201,5,Area06_026,Current
1480057201,5,Area06_027,Current
1480057201,5,Area06_028,Current
1480057201,5,Area06_029,Current
1480057201,6,Area07_001,Done
1480057201,6,Area07_002,Done
1480057201,6,Area07_003,Done
1480057201,6,Area07_006,Done
1480057201,6,Area07_007,Done
1480057201,6,Area07_008,Done
1480057201,6,Area07_009,Done
1480057201,6,Area07_010,Done
1480057201,6,Area07_011,Done
1480057201,6,Area07_012,Done
1480057201,6,Area07_013,Done
1480057201,6,Area07_014,Done
1480057201,6,Area07_015,Done
1480057201,6,Area07_016,Done
1480057201,6,Area07_017,Done
1480057201,6,Area07_018,Done
1480057201,6,Area07_019,Done
1480057201,6,Area07_020,Done
1480057201,7,Area08_001,Done
1480057201,7,Area08_002,Done
1480057201,7,Area08_003,Done
1480057201,7,Area08_004,Done
1480057201,7,Area08_005,Done
1480057201,7,Area08_006,Done
1480057201,7,Area08_007,Done
1480057201,7,Area08_008,Done
1480057201,7,Area08_009,Done
1480057201,7,Area08_010,Done
1480057201,7,Area08_011,Done
1480057201,7,Area08_012,Done
1480057201,7,Area08_013,Done
1480057201,7,Area08_014,Done
1480057201,7,Area08_015,Done
1480057201,7,Area08_016,Done
1480057201,7,Area08_017,Done
1480057201,7,Area08_018,Done
1480057201,7,Area08_019,Done
1480057201,7,Area08_020,Done
1480057201,7,Area08_021,Done
1480057201,7,Area08_022,Done
1480057201,7,Area08_099,Done
1480057201,8,Area09_001,Current
1480057201,8,Area09_002,Current
1480057201,8,Area09_003,Current
1480057201,8,Area09_004,Current
1480057201,8,Area09_005,Current
1480057201,8,Area09_006,Done
1480057201,8,Area09_007,Current
1480057201,8,Area09_008,Current
1480057201,8,Area09_009,Current
1480057201,8,Area09_010,Current
1480057201,8,Area09_011,Current
1480057201,8,Area09_012,Current
1480057201,8,Area09_013,Current
1480057201,8,Area09_014,Current
1480057201,8,Area09_015,Current
1480057201,8,Area09_016,Current
1480057201,8,Area09_017,Current
1480057201,8,Area09_018,Current
1480057201,8,Area09_019,Current
1480057201,8,Area09_020,Current
1480143601,0,Area01_001,Next
1480143601,0,Area01_002,Next
1480143601,0,Area01_003,Next
1480143601,0,Area01_004,Next
1480143601,0,Area01_005,Next
1480143601,0,Area01_006,Current
1480143601,0,Area01_007,Next
1480143601,0,Area01_008,Next
1480143601,0,Area01_009,Next
1480143601,0,Area01_010,Current
1480143601,0,Area01_011,Next
1480143601,0,Area01_012,Next
1480143601,0,Area01_013,Current
1480143601,0,Area01_014,Next
1480143601,0,Area01_015,Next
1480143601,0,Area01_016,Next
1480143601,0,Area01_017,Next
1480143601,0,Area01_018,Next
1480143601,0,Area01_019,Next
1480143601,0,Area01_020,Next
1480143601,0,Area01_021,Next
1480143601,9,Area10_001,Done
1480143601,9,Area10_002,Done
